Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CRM,Salesforce.com Inc Common Stock,$235.64,-5.31,-2.204%,216254956637.00,United States,2004,8641607,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$218.39,-7.44,-3.295%,48321787960.00,United States,2019,5899516,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$45.51,0.08,0.176%,192133460244.00,United States,1990,19714927,Technology,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$72.88,-0.37,-0.505%,38671167123.00,United States,1998,3310557,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$136.81,1.71,1.266%,16822667491.00,United States,1995,1731105,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$98.67,-1.03,-1.033%,30048206876.00,United States,2019,4829882,Technology,Computer Software: Prepackaged Software
DELL,Dell Technologies Inc. Class C Common Stock ,$80.56,-0.21,-0.26%,60404240692.00,,2018,2556837,Technology,Computer Manufacturing
DOCU,DocuSign Inc. Common Stock,$243.60,0.09,0.037%,46590185225.00,United States,2018,4459009,Technology,Computer Software: Prepackaged Software
DOV,Dover Corporation Common Stock,$121.98,-0.16,-0.131%,17522335149.00,United States,,804246,Technology,Industrial Machinery/Components
DOX,Amdocs Limited Ordinary Shares,$77.48,0.33,0.428%,10136321000.00,Guernsey,,1250972,Technology,EDP Services
DT,Dynatrace Inc. Common Stock,$50.63,0.14,0.277%,14307724246.00,United States,2019,2739292,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$141.17,-1.09,-0.766%,40604166232.00,United States,,2787212,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$170.89,3.03,1.805%,22048451837.00,United States,2012,5325672,Technology,Semiconductors
EPAM,EPAM Systems Inc. Common Stock,$371.63,6.74,1.847%,20807165684.00,United States,2012,278028,Technology,EDP Services
ERIC,Ericsson American Depositary Shares,$12.61,-0.10,-0.787%,42041740000.00,Sweden,,6457621,Technology,Radio And Television Broadcasting And Communications Equipment
ESTC,Elastic N.V. Ordinary Shares,$153.02,-2.44,-1.57%,13374507594.00,United States,2018,1264358,Technology,Computer Software: Prepackaged Software
ETN,Eaton Corporation PLC Ordinary Shares,$130.86,0.01,0.008%,52160796000.00,Ireland,,2963779,Technology,Industrial Machinery/Components
FB,Facebook Inc. Class A Common Stock,$265.855,5.525,2.122%,757232848049.00,United States,2012,21924557,Technology,Computer Software: Programming Data Processing
FDS,FactSet Research Systems Inc. Common Stock,$302.79,-1.08,-0.355%,11499547561.00,United States,1996,210747,Technology,Computer Software: Programming Data Processing
FFIV,F5 Networks Inc. Common Stock,$186.77,-6.02,-3.123%,11514523465.00,United States,1999,1185312,Technology,Computer Communications Equipment
FISV,Fiserv Inc. Common Stock,$115.60,2.24,1.976%,77292518009.00,United States,1986,5073599,Technology,EDP Services
FIVN,Five9 Inc. Common Stock,$178.09,11.31,6.781%,11750657267.00,United States,2014,3212064,Technology,EDP Services
